,Customer Name,Review Title,Rating,Reviews
166,Ashwin,Awesome purchase,5.0 out of 5 stars,  Received the pack on time and also in good condition. Game and DLCs works fine. Thanks Flipkart.
167,Vicky samby,Genuine product,5.0 out of 5 stars,  A genuine product with authentic DLC code. And ofcourse with English language. Must buy gamers.
168,Shivang Dogra,Good price for a great game,5.0 out of 5 stars,  Pretty economic price tag for a great game. The delivery too was pretty quick.
169,MOULIVENKATESAN KM,VERY BORE GAME,2.0 out of 5 stars,  WASTE OF MONEY. GAME NOT WORKING
170,Shivam Agarwal,Story is exceptional!,5.0 out of 5 stars,  Graphics are over the top!Story is fabulous!This game is worth its price.
171,Sameer,Amazon too good,5.0 out of 5 stars,  Best packaging.best game.never disappointed from Amazon.love you Amazon ❤️❤️
172,Phijam eden,Love it💓💓💓,4.0 out of 5 stars,  Thank you some love it....💓💓💓💓The package was delivered too fast but love
173,aryan saxena,Best deal for the best game,5.0 out of 5 stars,  A very good game and all the codes were working properly 😄
174,Rudransh,Best game,5.0 out of 5 stars,  There is a problem my dlc is not workingIts not showing even i have completed the game
175,Amazon Customer,AWESOME,5.0 out of 5 stars,  The best game in the world. It is a must buy. DLC CODES WORK PROPERLY. Gameplay is too good
176,AMIT SHARMA,Value for Money,5.0 out of 5 stars,  Good game
177,abhinav,Great game.,5.0 out of 5 stars,"  Wonderful game. Awesome gameplay, nice storyline. Overall fun package."
178,Ankit,Worth your money.,5.0 out of 5 stars,  The game is delivered as said per the description and was earlier than expected.
179,Hiranmay Kumar,Must play game,5.0 out of 5 stars,  Awesome game... A must play game and I bought this Game of the year edition... Totally loved it....
180,Taha,2 stars,2.0 out of 5 stars,  middle eastern edition
181,Amazon Customer,Don't buy,1.0 out of 5 stars,  It's not the Indian version. you can not redeem the DLC code. don't buy from here.
182,Srinivas,Excellent Game for Game lovers,5.0 out of 5 stars,  Fantastic Game.
183,Jagdeep S.,Return of product,1.0 out of 5 stars,  I want to return it
184,Afsana Ahmad,Don't buy thisss,1.0 out of 5 stars,  Make sure u don't buy this c.d....it's wrong there is something else in the CD
185,Aditya,Must Have Game,5.0 out of 5 stars,"  Its a must have game if u have ps4 with awesome graphics, action and story."
186,abirami,Wow,5.0 out of 5 stars,  Very good graphics good story but why 16 + it is good for 12
187,Srinivas R,Very good,5.0 out of 5 stars,  Excellent
188,Raj,Awesome game,5.0 out of 5 stars,  Must play
189,Suresh,Middle East version,5.0 out of 5 stars,"  Bought from Gamesbaba, arrived in good condition. The dlc code worked fine."
190,D kangabam,My son just loved it,5.0 out of 5 stars,  Awesome
191,Dr M.,Amazing game ⭐️,5.0 out of 5 stars,  Received original CD. Very good game. Definitely must buy.
192,Syamantak Sengupta,Fantastic ❤️,5.0 out of 5 stars,  The title says it all!!!Really a Game of the year ❤️
193,Joydeep Debnath,Best game ever,5.0 out of 5 stars,  Contained main DLC with 3 side stories. Great deal at this price.
194,Sandeep Kumar Sharma,Best game for ps4 ever.......,5.0 out of 5 stars,  Brilliant game the stoey was awesome of the game . Must try this product.
195,Ravijeet Sidhu,Crack on case,1.0 out of 5 stars,  The game is working smoothly but the case of game was having cracks on it
196,Amazon Customer,Review for this game,5.0 out of 5 stars,  Wonderful storyGraphics are excellent in this game
197,B Arwind,మాస్టర్ piece,5.0 out of 5 stars,  Nice and beautifully done
198,Ranjit Kumar,Amazing Game,5.0 out of 5 stars,  Absolutely nice and working well
199,Arham rao,Original game,5.0 out of 5 stars,  Original game order from cloudtail every time if u order a game
200,Mohit Sharma ,Best quality and fast service,5.0 out of 5 stars,  Thanku seller and Amazon i am happy 100 % setisfied...
201,Vijay,Awesome game...,5.0 out of 5 stars,  Finally got a game which never bore. Fantastic game.
202,Damall Dumeel,Middle East  product..Code not working ..,1.0 out of 5 stars,  Received  uae 🇦🇪  product...Not able to redeem  the code..
203,Archana,Best Game,5.0 out of 5 stars,  This game is amazing. The graphics and story is really good.
204,Amazon Customer,Felt like m the spiderman,5.0 out of 5 stars,  Simply awesome... What a game for super hero lovers
205,Abdul Azim Naushad,Worth buying after consideration,5.0 out of 5 stars,"  Great. Spot on delivery, DLC working fine and no problem with the disc whatsoever."
206,Arnav Singh,Spider man game of the year edition,5.0 out of 5 stars,  Game of the year edition is best it contains dlc and extra content
207,Amazon Customer,Nice game,5.0 out of 5 stars,  Nice game must buy
208,Dharini,Received new Game CD in very good packing,5.0 out of 5 stars,  Amazing product and game CD. Very happy abt the product.
209,Gowtham m.,Great graphics,5.0 out of 5 stars,  Good and superb game good packaging thanks amazon amazing game
210,Mario messi,Marvel's Spider Man Ps4,5.0 out of 5 stars,  Got it thanks amazon dlc code worked perferly
211,lakshana,Awesome Game !!,5.0 out of 5 stars,  Very interesting game
212,farzana,Amazing game OP game OG ge,3.0 out of 5 stars,  The game was just amazing u must play it once before you die
213,Shoham teberiwal,Amazing,5.0 out of 5 stars,  Great gameplay
214,Vicky,Kids found it amazing,5.0 out of 5 stars,  Perfectly matched my son's expectations
215,Abhinav Sharma,Must buy for ps4,5.0 out of 5 stars,  Great game. Iam loving it. Must buy if you own ps4
216,Kushagra Agarwal,Don't buy,1.0 out of 5 stars,  Doesn't even work. Always showing some error when I start
217,Anurag Paul,Best spiderman game,5.0 out of 5 stars,  Came in good condition and game is just awesome must buy
218,Mangai,Vera level,5.0 out of 5 stars,  Vera level
219,Kalpak balasaheb Dalvi,Best game of the year 👍,5.0 out of 5 stars,  Fantastic game !! Good fast delivered by Amazon liked it
220,Surendar S,Awesome,5.0 out of 5 stars,  Must play
221,Madhu P. M,Original product,4.0 out of 5 stars,  Original product
222,UNKNOWN_GAMER_!,This is the best cd,5.0 out of 5 stars,  This is the best cd must buy and play graphics is best and overall best game
223,Vishal,Damaged case,4.0 out of 5 stars,  Seal packed product but damaged case
224,SHIVAM,BEST Game Ever,5.0 out of 5 stars,  One of the best games to play
225,Huzefa Akbar Panhalkar,Very good quality,5.0 out of 5 stars,  Awesome
226,Chiraag Podder,Go for it!,5.0 out of 5 stars,  Awesome game and the DLCs too worked like a charm!
227,siddharth,One of the best games on ps4,5.0 out of 5 stars,  Amazing gameplay and storyline. Go for it
228,SmartSathiya,Excellent,5.0 out of 5 stars,  Excellent Game
229,Sanjay ,The marvel spiderman,5.0 out of 5 stars,  Wow the game was awesome more missions supermass
230,Tarun Bajaj,Interesting Game,3.0 out of 5 stars,  The game is fine
231,ashwani rawat,Wonderful,5.0 out of 5 stars,  Wonderful Game. Graphics is at its best
232,Abhishek Vijay,Thumbs up to Amazon...thumbs up to sony,5.0 out of 5 stars,"  Great price, quick delivery and what an amazing game."
233,amrutha,Spider man,5.0 out of 5 stars,  Everything works just fine.. Ontime delivery..
234,Ajay B.,Wow,5.0 out of 5 stars,  Very nice gameAlways enjoy while playing
235,Aditya,Perfect,5.0 out of 5 stars,  Perfect
236,Kamya,Just amazing,5.0 out of 5 stars,  Excellent product and in a very good condition.
237,Rashmi,Best game,5.0 out of 5 stars,  Very good game
238,SURESH KUMAR THILAKAN,best game ever,5.0 out of 5 stars,  Very good game
239,Deepa Joseph,woth it,5.0 out of 5 stars,  best for gamers and for ps 4 consoles
240,neelima,Spiderman Is Awesome,5.0 out of 5 stars,  Awesome game love it must buy a real spidey ps4 series
241,Krishna Kumar Nallur,Good deal kids are having fun,5.0 out of 5 stars,  It's good as expected
242,Reena,Game rating,5.0 out of 5 stars,  Very nice game
243,M Singh,Delivered as promised.,5.0 out of 5 stars,  Brand new disc; no scratches. DLC code works.
244,NAYAN KHAN,Best Spiderman Game,5.0 out of 5 stars,  Great game ❤
245,amogh,Awesome game,5.0 out of 5 stars,  Awesome game
246,Suraj Kiran Naik,Must buy,5.0 out of 5 stars,  Gr8 game... Loved it...  Play a lot
247,Goutam Ghosal,Incredible Game. A must have.,5.0 out of 5 stars,  Excellent game play.
248,Arham,One of the best ps4 exclusive,5.0 out of 5 stars,  Great game. The dlc worked for me.
249,Nirmal shanmugam,All working dlc,5.0 out of 5 stars,  I got original game with complete dlc tooo
250,Naseera,Spider-Man,5.0 out of 5 stars,  Best superhero game ever!!!!!!!!
251,Mohamed,Cool,5.0 out of 5 stars,"  Coolest game I ever played,.... relaxing"
252,SyeD MiB,Must Play this before you die,5.0 out of 5 stars,  The only reason I bought ps4 to play this game
253,Aditya Gholap,Awesome,5.0 out of 5 stars,  Awesome
254,Akshay Singh,Value for money,5.0 out of 5 stars,  Very nice disc
255,Monika Badhan,Marvellous,5.0 out of 5 stars,  Very nice game must play and the DLC works.
256,Utpal Shome,Must Buy,5.0 out of 5 stars,  Masterpiece From insomniac ❤❤
257,Dhiren,Not worth it,1.0 out of 5 stars,  It's not loading only
258,Pardeep Sidhu,Excellent game,5.0 out of 5 stars,  Awesome game and an excellent seller
259,Kindle Customer,Spiderman,5.0 out of 5 stars,  MARVELLOUS AMAZING AWSOME GAME OUTSTANDING DLC
260,Shreyas Jadhav,Deserving game of the year,5.0 out of 5 stars,  Very Good Game.No issues about DLC
261,munna,Good,5.0 out of 5 stars,  Got the item without any problems
262,Guneet,A very good game,5.0 out of 5 stars,  I like this game so much 💯💯💯👌
263,Revant,Great game,5.0 out of 5 stars,  Must have for PS4
264,SARAT B.,Best of the Best,5.0 out of 5 stars,  All time best open world Game.
265,Abhishek Sharma ,Best game ever,5.0 out of 5 stars,  Best game ever
266,Amazon Customer,An excellent game,5.0 out of 5 stars,  PS4 users must have this.....
267,Amazon Customer,Best game ever!!,5.0 out of 5 stars,  Mind blowing gameplay
268,rikita patel,Nice,4.0 out of 5 stars,  Veri nice video game.
269,Ashwin Ponnaiah,Rocks,5.0 out of 5 stars,  Cool
270,Viraj kate,Best game,5.0 out of 5 stars,  Go for it very amazing game
271,Nikhil Mishra,Best game ever,5.0 out of 5 stars,"  Best story line, best graphics worth every penny."
272,Yogii,Amazing game.,5.0 out of 5 stars,  Worth it.
273,vinay,Super game,4.0 out of 5 stars,  Value for money
274,Amazon Customer,One of the best games,5.0 out of 5 stars,  Awesome
275,Shweta Pathak,Great game,5.0 out of 5 stars,  Amazing game must play
276,Suman Patnaik,Spiderman 🤩🤩🔥🔥🔥,5.0 out of 5 stars,  🤩🤩🤩
277,Jyoti Kamble,Best PS4 GAME,5.0 out of 5 stars,  As I Thought It Comes
278,Madhivanan,Super,5.0 out of 5 stars,  Super
279,Yatendra Suyal,Amazing,5.0 out of 5 stars,  10/10
280,Suresh,Greatest game ever!!!!!!,5.0 out of 5 stars,  Amazing game I ever played
281,Sachin M Jadhav,Awesome,5.0 out of 5 stars,  Awesome game
282,CJ Brothers,Disappointed,5.0 out of 5 stars,  No doubt this is an awesome game. I've waited so long for the GOTY edition. I am disappointed because DLC is not on disc. There is DLC code voucher.
283,Krish,Ps4,5.0 out of 5 stars,  The game is awsome
284,Deepak Kumar Sethi,Superrr game,5.0 out of 5 stars,  Great game
285,aboo d.,Vishayam,5.0 out of 5 stars,  Amazing product .
286,Kothandan,Good but packing is trash,4.0 out of 5 stars,  Not well packed
287,Rajkaran sandhu,Best game ever,5.0 out of 5 stars,  Excellent game
288,Advay g.,Spectacular,5.0 out of 5 stars,  Brilliant game
289,Naveen Kumar,Awesome Game,5.0 out of 5 stars,  Awsome
290,Mayank,unbelievable,5.0 out of 5 stars,  woow jzt woow
291,Harshit,Awesome,5.0 out of 5 stars,  Awesome 👍😊
292,manav,Nice,5.0 out of 5 stars,  Nice
293,Akanksha,Great experience,5.0 out of 5 stars,  Awesome 👍
294,VESHALI PATHAK,"Really love the game, @best price awesome ......",5.0 out of 5 stars,  Awesome😍😍
295,Moinak,DLC code works,5.0 out of 5 stars,  Good stuff
296,Anki Bhutia,Brjdjdnej,5.0 out of 5 stars,  I like it
